Line 3: Variable e used before, initialization
Line 5: Variable x used before, initialization
Line 13: Variable x used before, initialization
Line 13: Variable y used before, initialization
Line 13: Variable x used before, initialization
Line 13: Variable y used before, initialization
Line 14: Variable x used before, initialization
Line 14: Variable y used before, initialization
Line 15: Variable x used before, initialization
Line 15: Variable y used before, initialization
Line 16: Variable x used before, initialization
Line 16: Variable y used before, initialization
Line 17: Variable x used before, initialization
Line 18: Variable x used before, initialization
Line 22: Variable x used before, initialization
Line 22: Variable y used before, initialization
Line 28: Variable x used before, initialization
Line 28: Variable y used before, initialization
Line 30: Variable x used before, initialization
Line 30: Variable y used before, initialization
Line 37: Variable x used before, initialization
Line 39: Variable i used before, initialization
Line 39: Variable i used before, initialization
Line 41: Variable i used before, initialization
Line 65: Variable x used before, initialization
Line 69: Variable x used before, initialization
Line 71: Variable x used before, initialization
Line 76: Variable x used before, initialization
Line 77: Variable i used before, initialization
Line 77: Variable i used before, initialization
Line 81: Variable x used before, initialization
Line 81: Variable y used before, initialization
Line 90: Variable x used before, initialization
Line 92: Variable x used before, initialization
Line 95: Variable x used before, initialization
Line 108: Variable x used before, initialization
Line 109: Variable x used before, initialization
Line 114: Variable x used before, initialization
Line 117: Variable x used before, initialization
Line 117: Variable y used before, initialization
Line 122: Variable x used before, initialization
Line 122: Variable y used before, initialization
Line 128: Variable x used before, initialization
Line 143: Variable a used before, initialization
Line 152: Variable test2 used before, initialization
Line 157: Variable x used before, initialization
Line 159: Variable x used before, initialization
Line 161: Variable x used before, initialization
Line 163: Variable x used before, initialization
Line 171: Variable x used before, initialization
Line 171: Variable y used before, initialization
Line 176: Variable x used before, initialization
Line 178: Variable x used before, initialization
Line 178: Variable y used before, initialization
Line 180: Variable x used before, initialization
Line 180: Variable y used before, initialization
Line 205: Variable x used before, initialization
Line 205: Variable y used before, initialization
Line 219: Variable x used before, initialization
Line 219: Variable y used before, initialization
Line 220: Variable z used before, initialization
